Date,AAPL,AMZN,GDX,MSFT,SPY,^VIX
2015-12-31,97.86474609375,675.8900146484375,13.404492378234863,50.88251876831055,186.63442993164062,18.209999084472656
2016-01-04,97.94844055175781,636.989990234375,13.765983581542969,50.25885772705078,184.0253448486328,20.700000762939453
2016-01-05,95.4939193725586,633.7899780273438,13.697592735290527,50.4881477355957,184.33660888671875,19.34000015258789
2016-01-06,93.6251449584961,632.6500244140625,13.922304153442383,49.57101058959961,182.01132202148438,20.59000015258789
2016-01-07,89.67371368408203,607.9400024414062,14.537816047668457,47.8468017578125,177.64459228515625,24.989999771118164
2016-01-08,90.14787292480469,607.0499877929688,14.186095237731934,47.99354934692383,175.69471740722656,27.010000228881836
2016-01-11,91.60757446289062,617.739990234375,13.599892616271973,47.96603012084961,175.8686065673828,24.299999237060547
2016-01-12,92.9371337890625,617.8900146484375,13.29702091217041,48.40625762939453,177.28759765625,22.469999313354492
2016-01-13,90.54768371582031,581.8099975585938,13.29702091217041,47.36072540283203,172.86593627929688,25.219999313354492
2016-01-14,92.52801513671875,593.0,12.828060150146484,48.70891189575195,175.703857421875,23.950000762939453
2016-01-15,90.30596160888672,570.1799926757812,12.788979530334473,46.76459884643555,171.93215942382812,27.020000457763672
2016-01-19,89.86897277832031,574.47998046875,12.183237075805664,46.37022018432617,172.16102600097656,26.049999237060547
2016-01-20,89.98983764648438,571.77001953125,12.554498672485352,46.58115768432617,169.95477294921875,27.59000015258789
2016-01-21,89.53425598144531,575.02001953125,12.613119125366211,46.296844482421875,170.90684509277344,26.690000534057617
2016-01-22,94.29454040527344,596.3800048828125,12.730358123779297,47.95685577392578,174.41305541992188,22.34000015258789
2016-01-25,92.45366668701172,596.530029296875,13.072310447692871,47.498287200927734,171.77651977539062,24.149999618530273
2016-01-26,92.96501922607422,601.25,13.648743629455566,47.8468017578125,174.1201171875,22.5
2016-01-27,86.85660552978516,583.3499755859375,13.873454093933105,46.975528717041016,172.22508239746094,23.110000610351562
2016-01-28,87.47950744628906,635.3499755859375,13.541272163391113,47.74591064453125,173.12225341796875,22.420000076293945
2016-01-29,90.50119018554688,587.0,13.883223533630371,50.52483367919922,177.342529296875,20.200000762939453
2016-02-01,89.65513610839844,574.8099975585938,14.313105583190918,50.17631530761719,177.27841186523438,19.979999542236328
2016-02-02,87.8421401977539,552.0999755859375,13.971153259277344,48.6080322265625,174.0834503173828,21.979999542236328
2016-02-03,89.58074951171875,531.0700073242188,14.997008323669434,47.83762741088867,175.1271209716797,21.649999618530273
2016-02-04,90.300537109375,536.260009765625,15.778610229492188,47.69089889526367,175.4017333984375,21.84000015258789
2016-02-05,87.88877868652344,502.1300048828125,16.657913208007812,46.00337219238281,172.06033325195312,23.3799991607666
2016-02-08,88.81423950195312,488.1000061035156,17.068254470825195,45.31550598144531,169.74423217773438,26.0
2016-02-09,88.7955322265625,482.07000732421875,16.36481475830078,45.196285247802734,169.75340270996094,26.540000915527344
2016-02-10,88.12247467041016,490.4800109863281,16.7458438873291,45.590660095214844,169.60687255859375,26.290000915527344
2016-02-11,87.58963012695312,503.82000732421875,17.947559356689453,45.57231140136719,167.40065002441406,28.139999389648438
2016-02-12,87.86073303222656,507.0799865722656,18.40675163269043,46.31520080566406,170.85194396972656,25.399999618530273
2016-02-16,90.33792877197266,521.0999755859375,16.814233779907227,47.192726135253906,173.735595703125,24.110000610351562
2016-02-17,91.72142028808594,534.0999755859375,17.410205841064453,48.421268463134766,176.57350158691406,22.309999465942383
2016-02-18,89.98270416259766,525.0,18.465370178222656,48.20880889892578,175.8502960205078,21.639999389648438
2016-02-19,89.77705383300781,534.9000244140625,17.957326889038086,47.86703109741211,175.76792907714844,20.530000686645508
2016-02-22,90.56226348876953,559.5,18.103879928588867,48.633724212646484,178.31292724609375,19.3799991607666
2016-02-23,88.51507568359375,552.9400024414062,18.48491096496582,47.275856018066406,176.06089782714844,20.979999542236328
2016-02-24,89.83312225341797,554.0399780273438,18.670543670654297,47.4421272277832,176.86648559570312,20.719999313354492
2016-02-25,90.45010375976562,555.1500244140625,18.944103240966797,48.12568664550781,179.00865173339844,19.110000610351562
2016-02-26,90.59032440185547,555.22998046875,18.26020050048828,47.386695861816406,178.59669494628906,19.809999465942383
2016-02-29,90.38468170166016,552.52001953125,18.9343318939209,46.998748779296875,177.19601440429688,20.549999237060547
2016-03-01,93.97425079345703,579.0399780273438,18.142959594726562,48.569068908691406,181.3613739013672,17.700000762939453
2016-03-02,94.1799087524414,580.2100219726562,18.611919403076172,48.91084289550781,182.1761474609375,17.09000015258789
2016-03-03,94.8810043334961,577.489990234375,19.364213943481445,48.35660934448242,182.8901824951172,16.700000762939453
2016-03-04,96.29253387451172,575.1400146484375,19.256744384765625,48.06101989746094,183.48526000976562,16.860000610351562
2016-03-07,95.22687530517578,562.7999877929688,19.930877685546875,47.13730239868164,183.63172912597656,17.350000381469727
2016-03-08,94.441650390625,560.260009765625,18.973413467407227,47.71000671386719,181.6268768310547,18.670000076293945
2016-03-09,94.5257797241211,559.469970703125,19.061342239379883,48.809234619140625,182.52401733398438,18.34000015258789
2016-03-10,94.57251739501953,558.9299926757812,19.911334991455078,48.079498291015625,182.67047119140625,18.049999237060547
2016-03-11,95.59143829345703,569.6099853515625,19.520536422729492,49.02167892456055,185.61825561523438,16.5
2016-03-14,95.83448028564453,573.3699951171875,18.680315017700195,49.11405563354492,185.38023376464844,16.920000076293945
2016-03-15,97.76014709472656,577.02001953125,19.080883026123047,49.50201416015625,185.07814025878906,16.84000015258789
